ID	PP	logFC	P.adjusted
KRTAP10-12	other	0	1
KRTAP10-2	other	0.01619	0.707034693
KRTAP10-3	other	0.017666667	0.697801744
KRTAP10-4	other	0	1
KRTAP10-5	other	0	1
KRTAP10-7	other	-0.016113333	0.707320451
KRTAP10-8	other	0	1
KRTAP10-9	other	0	1
KRTAP11-1	other	-0.019113333	0.693332366
KRTAP12-2	other	-0.01089	0.75508233
KRTAP12-3	other	0	1
KRTAP12-4	other	0.012846667	0.732663604
KRTAP13-1	other	0	1
KRTAP13-2	other	-0.044466667	0.701364263
KRTAP13-3	other	0.01619	0.707034693
KRTAP13-4	other	0.010433333	0.929198147
KRTAP15-1	other	0	1
KRTAP17-1	other	0	1
KRTAP19-1	other	0	1
KRTAP19-2	other	0	1
KRTAP19-3	other	0	1
KRTAP19-4	other	0	1
KRTAP19-5	other	0	1
KRTAP19-6	other	0	1
KRTAP19-7	other	0	1
KRTAP19-8	other	0	1
KRTAP2-1	other	0.17432	0.350336431
KRTAP2-2	other	0.07565	0.310616942
KRTAP2-4	other	0	1
KRTAP20-1	other	0	1
KRTAP20-2	other	0	1
KRTAP21-1	other	0	1
KRTAP21-2	other	0	1
KRTAP22-1	other	0	1
KRTAP23-1	other	0	1
KRTAP24-1	other	0	1
KRTAP26-1	other	0.013423333	0.727291341
KRTAP27-1	other	0	1
KRTAP3-1	other	0.4959	0.145166629
KRTAP3-2	other	-0.07286	0.91977131
KRTAP3-3	other	-0.011666667	1
KRTAP4-1	other	0.95766	0.3879971
KRTAP4-12	other	-0.015856667	0.708395508
KRTAP4-2	other	0.0277	0.544159037
KRTAP4-3	other	0.039163333	0.508673972
KRTAP4-4	other	0	1
KRTAP4-5	other	-0.017633333	0.697988584
KRTAP4-7	other	-0.04959	0.497646253
KRTAP4-9	other	0.03662	0.784550799
KRTAP5-1	other	-0.177986667	0.858408136
KRTAP5-10	other	-0.01094	1
KRTAP5-11	other	0.044063333	0.380089142
KRTAP5-2	other	0.477596667	0.536783267
KRTAP5-3	other	-0.005496667	1
KRTAP5-4	other	-0.166173333	0.584505941
KRTAP5-5	other	-0.1012	0.717671043
KRTAP5-6	other	0.062846667	0.45610637
KRTAP5-7	other	-0.113096667	0.709723835
KRTAP5-8	other	-0.12662	0.80236158
KRTAP5-9	other	-0.38612	0.544159037
KRTAP6-1	other	0	1
KRTAP6-2	other	0	1
KRTAP6-3	other	0	1
KRTAP7-1	other	0	1
KRTAP8-1	other	0	1
KRTAP9-4	other	0	1
KRTAP9-9	other	0	1
KRTCAP2	other	-0.17903	0.609452264
KRTCAP3	other	-0.71271	0.345130391
KRTDAP	other	-0.088876667	0.829053943
KSR1	other	-0.785566667	0.128480924
KSR2	other	1.6	0.026964033
KTI12	other	-0.01826	0.989693255
KTN1	other	0.144556667	0.672410579
KY	other	-0.62461	0.309588867
KYNU	other	-2.979223333	5.55E-05
L1CAM	other	-1.080443333	0.111015784
L1TD1	other	-0.402203333	0.566492769
L2HGDH	other	0.070233333	0.91690636
L3MBTL2	other	-0.11202	0.536783267
L3MBTL3	other	0.073683333	0.904778291
L3MBTL4	other	0.12881	0.911129305
LACE1	other	-0.206693333	0.495789226
LACRT	other	0	1
LACTB	other	-0.40923	0.132168715
LACTB2	other	0.16018	0.780963773
LAD1	other	-0.627696667	0.363583532
LAG3	other	-0.69833	0.266581237
LAGE3	other	-0.254083333	0.515528946
LAIR1	other	-0.429186667	0.351315496
LAIR2	other	-0.47315	0.631339542
LALBA	other	-0.03587	0.509099433
LAMA1	other	-0.276393333	0.776581592
LAMA2	other	0.397896667	0.4602496
LAMA3	other	-0.543053333	0.571575882
LAMA4	other	-0.49384	0.165704796
LAMA5	other	-0.319516667	0.634549332
LAMB1	other	-0.457863333	0.177592553
LAMB2	other	0.015366667	1
LAMB3	other	-0.092606667	0.94287964
LAMB4	other	-0.68209	0.08951266
LAMC1	other	0.033313333	0.96708698
LAMC2	other	-0.159186667	0.878033845
LAMC3	other	-0.238053333	0.815275947
LAMP1	other	-0.019206667	0.986431814
LAMP2	other	0.150306667	0.626178334
LAMP3	other	0.40059	0.649746312
LANCL1	other	-0.070526667	0.886226525
LANCL2	other	-0.216943333	0.412860228
LANCL3	other	-0.213226667	0.869212062
LAP3	other	-0.30559	0.31502829
LAPTM4A	other	0.214826667	0.265180219
LAPTM4B	other	0.582936667	0.192479088
LAPTM5	other	-0.412476667	0.336719343
LARGE	other	0.0866	0.951923217
LARP1	other	0.073166667	0.816482909
LARP1B	other	-0.170306667	0.589315752
LARP4	other	-0.04781	0.915487491
LARP4B	other	0.112806667	0.708494253
LARP6	other	-0.104476667	0.894864643
LARP7	other	-0.045656667	0.836438416
LARS	other	0.108983333	0.665758986
LARS2	other	0.145623333	0.539201999
LAS1L	other	0.152683333	0.46749116
LASP1	other	0.225083333	0.310074654
LAT	other	-0.728416667	0.100654207
LAT2	other	-0.16094	0.780256702
LATS1	other	0.137883333	0.768519575
LATS2	other	0.12932	0.708214208
LAX1	other	-0.391696667	0.636185493
LAYN	other	-0.449556667	0.298046439
LBH	other	-0.146056667	0.766818319
LBP	other	-2.997273333	0.009333199
LBR	other	-0.187946667	0.585274563
LBX1	other	0.031993333	0.980710213
LBX2	other	-0.095	0.933310586
LCA5	other	1.08767	0.013085029
LCA5L	other	-0.13139	0.795118076
LCAT	other	-0.237073333	0.711025472
LCE1A	other	0	1
LCE1B	other	0.067006667	0.376265632
LCE1C	other	-0.02804	0.756407454
LCE1D	other	0	1
LCE1E	other	-0.09264	0.5332983
LCE1F	other	0	1
LCE2A	other	0	1
LCE2B	other	0	1
LCE2C	other	0.02756	0.823163343
LCE2D	other	0	1
LCE3A	other	0.057723333	0.804980207
LCE3B	other	0	1
LCE3C	other	0	1
LCE3D	other	-0.267543333	0.49117977
LCE3E	other	-0.293726667	0.087408028
LCE4A	other	0	1
LCE5A	other	-0.032363333	0.681642705
LCE6A	other	0	1
LCK	other	-0.823143333	0.072469931
LCLAT1	other	0.21637	0.408806736
LCMT1	other	-0.089676667	0.668282511
LCMT2	other	-0.21695	0.416555103
LCN1	other	-0.14585	0.59373477
LCN10	other	0.631913333	0.405118687
LCN12	other	-0.833216667	0.192479088
LCN15	other	-0.046666667	0.989578506
LCN2	other	-1.77353	0.074149252
LCN6	other	0.10563	0.793648714
LCN8	other	0.42686	0.154387106
LCN9	other	0	1
LCNL1	other	-0.52147	0.269172776
LCOR	other	0.523346667	0.253112175
LCORL	other	0.323523333	0.277805019
LCP1	other	-0.18969	0.758089837
LCP2	other	-0.262936667	0.564591216
LCT	other	2.025253333	0.023795622
LCTL	other	-0.211586667	0.595280286
LDB1	other	0.349793333	0.163039178
LDB2	other	-0.44876	0.127227683
LDB3	other	0.365046667	0.638408294
LDHA	other	-0.42783	0.194659805
LDHAL6A	other	-0.22694	0.571575882
LDHAL6B	other	-0.467633333	0.20201051
LDHB	other	0.555633333	0.230896227
LDHC	other	-0.55499	0.594712948
LDHD	other	-0.018706667	1
LDLR	other	0.605303333	0.17315202
LDLRAD1	other	-1.639516667	0.06040061
LDLRAD2	other	-0.08543	0.903529281
LDLRAD3	other	-0.578096667	0.246771705
LDLRAP1	other	-0.078356667	0.875062262
LDOC1	other	-0.04936	1
LDOC1L	other	0.115003333	0.734034935
LEAP2	other	0.22702	0.717914444
LECT1	other	1.854783333	0.210104002
LECT2	other	0	1
LEF1	other	-0.440676667	0.259820766
LEFTY1	other	1.489516667	0.006360811
LEFTY2	other	1.072843333	0.233146414
LEKR1	other	0.157806667	0.815128332
LELP1	other	0	1
LEMD1	other	0.961586667	0.314510464
LEMD2	other	0.02739	0.964738952
LEMD3	other	0.220513333	0.166868952
LENEP	other	-0.123976667	0.759381784
LENG1	other	0.08526	0.829257741
LENG8	other	-0.16152	0.804873212
LENG9	other	-0.663353333	0.070747247
LEO1	other	-0.20712	0.312775738
LEP	other	-0.513103333	0.556277904
LEPR	other	0.606323333	0.368450915
LEPRE1	other	-0.240643333	0.300164738
LEPREL1	other	0.437403333	0.691358193
LEPREL2	other	0.01617	1
LEPROT	other	0.09452	0.897164236
LEPROTL1	other	-0.3331	0.070380263
LETM1	other	-0.077906667	0.80565107
LETM2	other	-0.230223333	0.735247469
LETMD1	other	0.052313333	0.933905195
LEUTX	other	0	1
LFNG	other	0.543036667	0.409483378
LGALS1	other	-0.0264	1
LGALS12	other	0.665906667	0.230844412
LGALS13	other	0	1
LGALS14	other	-0.070526667	0.527440112
LGALS2	other	-0.72536	0.406598208
LGALS3	other	-0.181223333	0.754153728
LGALS3BP	other	0.052773333	0.916154264
LGALS4	other	0.181536667	0.976187112
LGALS8	other	-0.02568	0.990225307
LGALS9C	other	-1.15747	0.028460793
LGI1	other	0.975163333	0.094718822
LGI2	other	-0.387923333	0.62715495
LGI3	other	0.55349	0.694240984
LGI4	other	-0.260486667	0.667480048
LGMN	other	0.14933	0.717406041
LGR4	other	-0.21942	0.683306666
LGR5	other	0.399023333	0.668338905
LGR6	other	-0.127136667	0.958425544
LGSN	other	-0.734253333	0.667480048
LHCGR	other	0.737186667	0.291581613
LHFP	other	-0.130106667	0.733201495
LHFPL1	other	-0.061706667	0.94287964
LHFPL2	other	0.090556667	0.914941322
LHFPL3	other	1.02323	0.232771945
LHFPL4	other	0.151513333	0.963059899
LHFPL5	other	-0.046296667	1
LHPP	PP	-0.320886667	0.436613119
LHX1	other	0.179813333	0.875056316
LHX2	other	-0.951866667	0.253112175
LHX3	other	0.037343333	0.937462625
LHX4	other	-0.178673333	0.759182412
LHX5	other	-0.352653333	0.548199029
LHX6	other	0.010286667	1
LHX8	other	-0.841363333	0.363696562
LHX9	other	0.161933333	0.927739625
LIAS	other	-0.264223333	0.455368981
LIF	other	-0.719673333	0.364235369
LIFR	other	0.96593	0.048902703
LIG1	other	0.196346667	0.564906833
LIG3	other	0.235983333	0.38229449
LIG4	other	0.023726667	0.982405705
LILRA1	other	0.232243333	0.748219565
LILRA2	other	0.5934	0.602294589
LILRA3	other	-0.532686667	0.580646039
LILRA4	other	-0.44067	0.600129959
LILRA5	other	-0.738953333	0.143331323
LILRA6	other	-0.43258	0.415830336
LILRB1	other	-0.41263	0.422696654
LILRB2	other	-0.542796667	0.237202561
LILRB3	other	-0.567456667	0.167443991
LILRB4	other	-0.693413333	0.217562295
LILRB5	other	-0.423663333	0.560732434
LILRP2	other	-0.495123333	0.678180286
LIM2	other	-0.159336667	0.169576285
LIMA1	other	0.305506667	0.230896227
LIMCH1	other	0.32945	0.622553753
LIMD1	other	0.444193333	0.132667939
LIMD2	other	-0.313696667	0.529289834
LIME1	other	-0.64275	0.295544101
LIMK1	other	0.000333333	1
LIMK2	other	-0.4653	0.064634602
LIMS1	other	0.100373333	0.87044253
LIMS2	other	-0.03562	0.998770077
LIMS3	other	-0.025846667	1
LIN28A	other	0.193866667	0.420833287
LIN28B	other	-0.220243333	0.857570938
LIN37	other	0.061993333	0.882257275
LIN52	other	0.21835	0.501241684
LIN54	other	0.05199	0.839399088
LIN7A	other	0.052246667	0.977292197
LIN7B	other	-0.031416667	1
LIN7C	other	-0.074376667	0.818193183
LIN9	other	-0.25902	0.391795427
LINGO1	other	0.103316667	0.957856634
LINGO2	other	-0.312443333	0.755379642
LINGO3	other	0.583006667	0.368028931
LINGO4	other	-0.499436667	0.596285106
LIPA	other	0.089576667	0.905089062
LIPC	other	-0.59299	0.184836707
LIPE	other	0.795933333	0.109155915
LIPF	other	0.16559	0.772942546
LIPG	other	-0.24066	0.737785308
LIPH	other	0.335356667	0.795385973
LIPI	other	-0.098393333	0.526749471
LIPJ	other	0.31716	0.141057079
LIPK	other	-0.217113333	0.741364044
LIPM	other	0.052443333	0.531099059
LIPN	other	-0.063	0.898826733
LIPT1	other	0.000716667	1
LITAF	other	-0.378003333	0.085473538
LIX1	other	-0.029843333	0.992010442
LIX1L	other	0.65216	0.090841454
LLGL1	other	0.3168	0.368028931
LLGL2	other	0.010516667	1
LLPH	other	-0.251683333	0.213715416
LMAN1	other	-0.05823	0.905424051
LMAN1L	other	-0.14876	0.686316001
LMAN2	other	-0.283583333	0.306794447
LMAN2L	other	0.361946667	0.023939778
LMBR1	other	0.083583333	0.827248262
LMBR1L	other	0.22288	0.371395545
LMBRD1	other	0.038033333	0.95057278
LMBRD2	other	0.517776667	0.17290455
LMCD1	other	-0.2218	0.546947531
LMF1	other	-0.286333333	0.513516907
LMF2	other	-0.081496667	0.875975365
LMLN	other	0.217036667	0.561650152
LMNA	other	0.014653333	1
LMNB1	other	-0.10983	0.855115691
LMNB2	other	0.06416	0.919606735
LMO1	other	-0.168536667	0.841726803
LMO2	other	-0.34219	0.199801704
LMO3	other	1.114323333	0.198359432
LMO4	other	-0.71897	0.013377731
LMO7	other	0.042726667	0.981487335
LMOD1	other	-0.163426667	0.842195769
LMOD2	other	-0.068286667	0.619017135
LMOD3	other	0.12644	0.822108413
LMTK2	other	0.24876	0.627458322
LMTK3	other	0.224496667	0.804091377
LMX1A	other	-0.07071	0.995878792
LMX1B	other	0.413626667	0.798289525
LNP1	other	-0.033633333	0.970448086
LNPEP	other	0.012866667	1
LNX1	other	0.367296667	0.295772686
LNX2	other	0.362776667	0.237202561
LOC100009676	other	0.28587	0.28837792
LOC100124692	other	-0.125923333	0.820247918
LOC100126784	other	0.43112	0.602294589
LOC100128076	other	0.22924	0.477881448
LOC100128164	other	0.310003333	0.526526347
LOC100128288	other	-0.057773333	0.955852981
LOC100128554	other	0.444316667	0.208322373
LOC100128640	other	0.560053333	0.130962374
LOC100128788	other	-0.571866667	0.276378316
LOC100128822	other	-0.07972	0.894809863
LOC100128977	other	0	1
LOC100129034	other	0.04516	0.960389422
LOC100129055	other	0.062513333	0.875975365
LOC100129387	other	-0.34145	0.395862808
LOC100129534	other	-0.243213333	0.680560167
LOC100129550	other	0.26282	0.501586821
LOC100129637	other	-0.375043333	0.481940755
LOC100129716	other	-0.140513333	0.819178021
LOC100129726	other	-0.246176667	0.646678358
LOC100129935	other	0.01319	0.926083287
LOC100130015	other	0.018483333	1
LOC100130148	other	0.06296	0.546443074
LOC100130264	other	0.058133333	0.867459896
LOC100130522	other	-0.016573333	1
LOC100130557	other	0.09556	0.924436148
LOC100130581	other	0.231573333	0.626895787
LOC100130691	other	0.11637	0.780292639
LOC100130776	other	-0.221516667	0.780285013
LOC100130872	other	-0.49098	0.327187512
LOC100131193	other	-0.352106667	0.560382437
LOC100131434	other	-0.44819	0.561677084
LOC100131551	other	-1.215886667	0.087293067
LOC100132215	other	-0.47169	0.224515285
LOC100132707	other	0.0201	0.999168214
LOC100132832	other	-0.005086667	1
LOC100133050	other	-0.029636667	0.874098305
LOC100133308	other	0.018936667	1
LOC100133669	other	0.61684	0.351315496
LOC100133920	other	-0.03852	0.740151183
LOC100133985	other	-0.480516667	0.562692265
LOC100133991	other	0.001983333	1
LOC100134229	other	-0.91127	0.015594092
LOC100134259	other	-0.27659	0.470855605
LOC100134368	other	0.05931	0.952909161
LOC100144603	other	-0.631963333	0.157888954
LOC100169752	other	0	1
LOC100170939	other	0.4335	0.49776213
LOC100188947	other	-0.252426667	0.437655346
LOC100190939	other	-0.009283333	1
LOC100190940	other	-0.58457	0.772890821
LOC100192378	other	-0.197126667	0.304079816
LOC100216545	other	-0.384953333	0.353530349
LOC100240735	other	0.24201	0.754661136
LOC100270804	other	-0.009733333	1
LOC100271722	other	-0.007473333	1
LOC100271836	other	0.39493	0.314671126
LOC100272216	other	-0.28986	0.667480048
LOC100272217	other	-0.26158	0.547506657
LOC100272228	other	-0.345103333	0.675382551
LOC100287704	other	0.01619	0.707034693
LOC100289341	other	-0.029933333	0.978846178
LOC100302640	other	-0.008606667	1
LOC100302650	other	-0.027136667	1
LOC113230	other	0.068596667	0.957818891
LOC115110	other	-0.451363333	0.447909872
LOC116437	other	-0.542886667	0.435748472
LOC126536	other	-0.02963	0.525856516
LOC127841	other	-0.091766667	0.921896823
LOC143188	other	-0.124486667	0.767681544
LOC143666	other	0.039693333	0.989327714
LOC144486	other	0.386806667	0.367102225
LOC144571	other	-0.18127	0.691292805
LOC144742	other	0.029926667	0.759544757
LOC145474	other	-0.004306667	1
LOC145783	other	0.190306667	0.70406588
LOC145820	other	-0.052593333	0.981487335
LOC145837	other	0.91972	0.591663987
LOC145845	other	0.00035	1
LOC146336	other	-0.116713333	0.973183264
LOC146481	other	-0.04296	0.659534457
LOC146880	other	0.37404	0.416415574
LOC147727	other	-0.106713333	0.795118076
LOC147804	other	0.254356667	0.386557145
LOC148145	other	0.0508	0.823163343
LOC148189	other	-0.062556667	0.898826733
LOC148696	other	0.4767	0.458998549
LOC148709	other	-0.150506667	0.865309524
LOC148824	other	-0.192663333	0.754576963
LOC149134	other	-0.877876667	0.222956231
LOC149837	other	-0.23271	0.759781051
LOC150197	other	-0.167573333	0.882993276
LOC150568	other	-0.154066667	0.38900631
LOC150622	other	-0.65686	0.561339105
LOC151009	other	1.119363333	0.05786605
LOC151174	other	0.20413	0.872275855
LOC151300	other	0	1
LOC151534	other	0.00049	1
LOC151658	other	0.019743333	0.879556399
LOC152024	other	0.34275	0.314855779
LOC152217	other	0.065243333	0.877052319
LOC152225	other	-0.09446	0.961728131
LOC153684	other	0.30085	0.621827144
LOC153910	other	0.21127	0.743588476
LOC154449	other	0.051483333	0.645063235
LOC154761	other	-0.210503333	0.722797018
LOC154822	other	-1.858643333	0.069685135
LOC157381	other	0.553386667	0.542717063
LOC157627	other	-0.0198	0.768574898
LOC158376	other	-0.408526667	0.152800138
LOC158572	other	0.524223333	0.107839835
LOC158696	other	0.4969	0.442299011
LOC200726	other	0	1
LOC202181	other	0.243346667	0.655989718
LOC202781	other	-0.25099	0.530946093
LOC219347	other	-0.354456667	0.51496042
LOC221122	other	-0.022893333	0.976887425
LOC221442	other	-0.064486667	0.978846178
LOC253039	other	0.212983333	0.541414634
LOC254312	other	0.0496	0.412504176
LOC254559	other	0.21029	0.899092242
LOC255025	other	0	1
LOC255167	other	1.189473333	0.138384169
LOC256880	other	-0.013073333	1
LOC257358	other	-0.200386667	0.591378988
LOC282997	other	-0.476423333	0.100654207
LOC283050	other	-0.274133333	0.627214479
LOC283070	other	0.866476667	0.170923657
LOC283174	other	1.398546667	0.114905337
LOC283332	other	-0.04895	0.787076765
LOC283392	other	0.178386667	0.860521185
LOC283404	other	-0.611226667	0.170429704
LOC283663	other	-0.77578	0.192570647
LOC283731	other	0.414206667	0.522283098
LOC283761	other	0.051056667	0.821182759
LOC283856	other	0.057103333	0.87322132
LOC283867	other	0.432953333	0.557689006
LOC283914	other	0	1
LOC284009	other	0.003893333	1
LOC284023	other	0.163206667	0.711103739
LOC284276	other	0.116313333	0.943359811
LOC284379	other	0.022973333	0.554776845
LOC284440	other	0.29922	0.487773737
LOC284551	other	-0.077196667	0.958489752
LOC284578	other	1.990183333	0.013919931
LOC284632	other	-0.174386667	0.557105257
LOC284661	other	0	1
LOC284688	other	-0.045266667	0.87665091
LOC284788	other	-0.054843333	0.69545817
LOC284798	other	0.72031	0.307420318
LOC284837	other	0.872173333	0.110414798
LOC285033	other	-0.148846667	0.655989718
LOC285074	other	0.32426	0.168616218
LOC285205	other	-0.28081	0.209420337
LOC285359	other	0.384563333	0.1553364
LOC285370	other	0.010126667	0.765182308
LOC285375	other	-0.004013333	1
LOC285401	other	0.114906667	0.675830455
LOC285419	other	0.24703	0.739255324
LOC285456	other	-0.034243333	0.981487335
LOC285501	other	-0.106206667	0.772428886
LOC285548	other	-0.083126667	0.889007082
LOC285593	other	-0.007583333	1
LOC285627	other	0.06806	0.663393382
LOC285629	other	0.04885	1
LOC285692	other	-0.017493333	0.857570938
LOC285696	other	-0.687213333	0.118800891
LOC285740	other	-0.198153333	0.406977972
LOC285768	other	0.400943333	0.423051233
LOC285796	other	-0.033483333	0.936403046
LOC285847	other	0.10359	0.82661185
LOC285954	other	-0.26765	0.553328988
LOC286002	other	-1.67437	0.160146966
LOC286094	other	-0.00164	1
LOC286135	other	-0.020333333	0.923461605
LOC286238	other	0	1
LOC286359	other	-0.00468	1
LOC286367	other	-0.13112	0.901684513
LOC286467	other	-0.534846667	0.606910986
LOC338588	other	0.001283333	1
LOC338651	other	-0.269883333	0.781253771
LOC338758	other	-0.517886667	0.119101857
LOC338799	other	-0.461	0.446516563
LOC339240	other	0.22668	0.366160247
LOC339290	other	0.30302	0.288386558
LOC339524	other	0.077466667	0.951923217
LOC339535	other	-0.70065	0.59313351
LOC339568	other	0	1
LOC339788	other	0.021216667	0.965007777
LOC340017	other	-0.183853333	0.482674786
LOC340074	other	0.103996667	0.638842607
LOC340094	other	-0.016943333	0.702223242
LOC340508	other	-0.10506	0.711025472
LOC344595	other	0.10377	0.843446786
LOC344967	other	-0.110363333	0.879746389
LOC348840	other	-0.280916667	0.363733142
LOC349196	other	0.330566667	0.667480048
LOC374443	other	-0.16328	0.761649627
LOC375190	other	0.2554	0.499025075
LOC387646	other	0.096556667	0.940850791
LOC387647	other	-0.072486667	0.88380939
LOC388387	other	-0.023553333	0.983800754
LOC388588	other	0.547503333	0.291946028
LOC388692	other	-0.549586667	0.33230484
LOC388796	other	-0.205006667	0.676090208
LOC388946	other	0	1
LOC389033	other	0.089503333	0.663122941
LOC389332	other	-0.29792	0.638842607
LOC389458	other	0.546593333	0.445744734
LOC389493	other	-0.52045	0.653305222
LOC389634	other	-0.422336667	0.544159037
LOC389705	other	0.536	0.189581633
LOC389791	other	-0.20725	0.773423095
LOC390858	other	-0.020583333	0.879295379
LOC399744	other	0.172843333	0.75880221
LOC399815	other	-0.568106667	0.273159855
LOC400027	other	0.274503333	0.289333551
LOC400043	other	0.0618	0.992617245
LOC400657	other	0.108726667	0.759544757
LOC400752	other	0.219756667	0.613153937
LOC400794	other	1.090696667	0.217434912
LOC400891	other	0.380706667	0.722603669
LOC400940	other	-0.45713	0.503367672
LOC401010	other	-0.199466667	0.604778138
LOC401052	other	-0.175036667	0.727266814
LOC401093	other	0.429983333	0.416555103
LOC401127	other	0.38918	0.268287234
LOC401397	other	-0.17474	0.543362281
LOC401431	other	-0.27052	0.600129959
LOC401463	other	0.27573	0.653858625
LOC401588	other	0.00495	1
LOC407835	other	0.222353333	0.595978774
LOC415056	other	0.07134	0.298122508
LOC440173	other	-0.539083333	0.635664414
LOC440354	other	0.21803	0.580051936
LOC440356	other	0.362133333	0.689860501
LOC440896	other	-0.13731	0.777692266
LOC440905	other	0.292966667	0.823163343
LOC440925	other	-0.494653333	0.521378434
LOC440944	other	-0.030413333	1
LOC441177	other	-1.313363333	0.069507059
LOC441204	other	0.11079	0.920231028
LOC441455	other	0.465126667	0.381170778
LOC441601	other	-0.141633333	0.798289525
LOC441666	other	0.602266667	0.529886012
LOC442421	other	-0.35689	0.363680278
LOC493754	other	0.114496667	0.641774739
LOC494141	other	-0.009483333	1
LOC541473	other	-0.164906667	0.831948464
LOC550112	other	-0.016806667	0.994064592
LOC550643	other	0.031103333	0.973716952
LOC572558	other	0.555016667	0.050577985
LOC606724	other	-0.176756667	0.784550799
LOC619207	other	-0.037766667	1
LOC641298	other	0.374376667	0.620261953
LOC641367	other	0.191413333	0.67315165
LOC642826	other	-0.064703333	0.960389422
LOC642852	other	0.15264	0.800651586
LOC643837	other	0.043493333	0.924853746
LOC643923	other	0.072046667	0.535770291
LOC644145	other	-0.019113333	0.693332366
LOC644669	other	0.358126667	0.320960341
LOC644936	other	-0.16618	0.759343578
LOC645431	other	0.124503333	0.854449878
LOC645676	other	-0.0537	0.951923217
LOC646471	other	-0.230056667	0.69545817
LOC646627	other	-0.13256	0.300555645
LOC646762	other	-0.247223333	0.587686898
LOC646851	other	0.581053333	0.493221495
LOC646999	other	-0.79933	0.064634602
LOC647946	other	0.01527	1
LOC648691	other	-0.01373	1
LOC650293	other	-0.02604	0.943655132
LOC650368	other	0.015546667	1
LOC652276	other	-0.02478	0.987999346
LOC654433	other	-0.331816667	0.823163343
LOC678655	other	0.06446	0.901628963
LOC723809	other	1.26491	0.223356618
LOC727924	other	-0.032416667	0.667399959
LOC728190	other	-0.19564	0.604784333
LOC728392	other	-0.258106667	0.624989716
LOC728613	other	-0.159876667	0.816163632
LOC728723	other	-0.269126667	0.595978774
LOC728743	other	-0.659183333	0.010797961
LOC728758	other	0.140313333	0.623294606
LOC728819	other	1.45016	0.004774532
LOC728855	other	-0.390086667	0.507513528
LOC729603	other	-0.09961	0.893441966
LOC729678	other	-0.12596	0.651928113
LOC730101	other	-0.0572	0.945825497
LOC731779	other	-0.105046667	0.653440178
LOC731789	other	-0.17403	0.866550741
LOC732275	other	-0.016723333	0.844381405
LOC80054	other	0.917293333	0.104916908
LOC81691	other	-0.46665	0.20103281
LOC84856	other	0.21074	0.785907024
LOC84931	other	-0.02028	1
LOC84989	other	0.345183333	0.67780217
LOC90246	other	-0.182323333	0.894169335
LOC90784	other	0.242806667	0.658587294
LOC90834	other	-0.165126667	0.807142949
LOC91450	other	-0.190143333	0.751469034
LOC91948	other	-0.244393333	0.638749672
LOC92249	other	0.0862	0.758945417
LOC92659	other	0.06741	0.937462625
LOC93432	other	-0.09182	0.602294589
LOC93622	other	-0.030616667	0.981487335
LOC96610	other	-0.355723333	0.731528205
LOH12CR1	other	-0.373773333	0.265180219
LOH12CR2	other	-0.217023333	0.624989716
LONP1	other	0.058496667	0.912020754
LONP2	other	0.074513333	0.838733488
LONRF1	other	0.0837	0.801413294
LONRF2	other	0.964266667	0.238674932
LONRF3	other	0.016703333	1
LOR	other	-0.267583333	0.171501351
LOX	other	-0.674073333	0.142627903
LOXHD1	other	-0.591216667	0.263959326
LOXL1	other	-0.27232	0.55291858
LOXL2	other	-0.621403333	0.311089383
LOXL3	other	-0.205986667	0.691358193
LOXL4	other	0.316566667	0.762532988
LPA	other	0.244593333	0.592722891
LPAL2	other	-0.056056667	0.97241997
LPAR1	other	-1.03427	0.023714197
LPAR2	other	-0.403436667	0.176758526
LPAR3	other	0.492246667	0.697801744
LPAR4	other	-0.298133333	0.586850193
LPAR5	other	-0.288496667	0.66021015
LPAR6	other	-0.27215	0.493661289
LPCAT1	other	0.91821	0.039270439
LPCAT2	other	0.186756667	0.70406588
LPCAT3	other	-0.284446667	0.226150572
LPCAT4	other	-0.294606667	0.543654648
LPGAT1	other	-0.238303333	0.485952532
LPHN1	other	0.564276667	0.218465839
LPHN2	other	-0.47979	0.166664872
LPHN3	other	0.504773333	0.585451205
LPIN1	other	0.306063333	0.444304467
LPIN2	other	0.543903333	0.275333163
LPIN3	other	-0.01223	1
LPL	other	0.845633333	0.329970241
LPO	other	-0.047456667	1
LPP	other	0.6006	0.200309684
LPPR1	PP	1.414826667	0.191765242
LPPR2	PP	-0.18736	0.594204437
LPPR3	PP	-0.19649	0.91990375
LPPR4	PP	-0.024256667	1
LPPR5	PP	0.147443333	0.715114758
LPXN	other	-0.231756667	0.571732324
LRAT	other	0.541043333	0.585451205
LRBA	other	0.345503333	0.218267256
LRCH1	other	-0.057483333	0.876603545
LRCH2	other	0.50004	0.448709785
LRCH3	other	0.303266667	0.397099075
LRCH4	other	-0.103276667	0.869745654
LRFN1	other	-0.08012	0.945170276
LRFN2	other	0.621866667	0.410251881
LRFN3	other	-0.068716667	0.89020114
LRFN4	other	-0.70684	0.235507009
LRFN5	other	-0.051983333	0.986139915
LRG1	other	-0.737283333	0.262458694
LRGUK	other	-0.395166667	0.620944815
LRIG1	other	0.574543333	0.123090215
LRIG2	other	0.21977	0.290068409
LRIG3	other	1.275163333	0.00779234
LRIT1	other	0.121746667	0.435250536
LRIT2	other	0.23987	0.560738141
LRIT3	other	0.460063333	0.392548813
LRMP	other	-0.28321	0.701364263
LRP1	other	-0.062093333	0.945825497
LRP10	other	-0.09533	0.828240107
